Date,Predictions
2010-12-01 23:00:00+00:00,[1045.7838]
2010-12-01 00:00:00+00:00,[994.98364]
2010-12-02 01:00:00+00:00,[984.57477]
2010-12-02 02:00:00+00:00,[962.9881]
2010-12-02 03:00:00+00:00,[961.1366]
2010-12-02 04:00:00+00:00,[944.50116]
2010-12-02 05:00:00+00:00,[945.6877]
2010-12-02 06:00:00+00:00,[1018.18787]
2010-12-02 07:00:00+00:00,[1073.1305]
2010-12-02 08:00:00+00:00,[1254.6887]
2010-12-02 09:00:00+00:00,[1358.0668]
2010-12-02 10:00:00+00:00,[1397.5254]
2010-12-02 11:00:00+00:00,[1434.5924]
2010-12-02 12:00:00+00:00,[1436.3304]
2010-12-02 13:00:00+00:00,[1419.2068]
2010-12-02 14:00:00+00:00,[1387.5531]
2010-12-02 15:00:00+00:00,[1423.3702]
2010-12-02 16:00:00+00:00,[1448.6774]
2010-12-02 17:00:00+00:00,[1463.8085]
2010-12-02 18:00:00+00:00,[1479.4972]
2010-12-02 19:00:00+00:00,[1414.4204]
2010-12-02 20:00:00+00:00,[1202.3744]
2010-12-02 21:00:00+00:00,[1135.1895]
2010-12-02 22:00:00+00:00,[1037.6782]
2010-12-02 23:00:00+00:00,[996.72437]
2010-12-02 00:00:00+00:00,[950.5901]
2010-12-03 01:00:00+00:00,[944.88776]
2010-12-03 02:00:00+00:00,[948.65643]
2010-12-03 03:00:00+00:00,[953.9808]
2010-12-03 04:00:00+00:00,[959.2607]
2010-12-03 05:00:00+00:00,[961.8662]
2010-12-03 06:00:00+00:00,[983.78845]
2010-12-03 07:00:00+00:00,[1035.1381]
2010-12-03 08:00:00+00:00,[1116.9585]
2010-12-03 09:00:00+00:00,[1203.7418]
2010-12-03 10:00:00+00:00,[1212.246]
2010-12-03 11:00:00+00:00,[1270.5656]
2010-12-03 12:00:00+00:00,[1289.8575]
2010-12-03 13:00:00+00:00,[1255.69]
2010-12-03 14:00:00+00:00,[1215.4988]
2010-12-03 15:00:00+00:00,[1213.2975]
2010-12-03 16:00:00+00:00,[1227.0093]
2010-12-03 17:00:00+00:00,[1190.9451]
2010-12-03 18:00:00+00:00,[1196.1017]
2010-12-03 19:00:00+00:00,[1128.5293]
2010-12-03 20:00:00+00:00,[1051.3403]
2010-12-03 21:00:00+00:00,[1012.9544]
2010-12-03 22:00:00+00:00,[935.0213]
2010-12-03 23:00:00+00:00,[919.15314]
2010-12-03 00:00:00+00:00,[911.9984]
2010-12-04 01:00:00+00:00,[924.0699]
2010-12-04 02:00:00+00:00,[940.0712]
2010-12-04 03:00:00+00:00,[960.1346]
2010-12-04 04:00:00+00:00,[976.54926]
2010-12-04 05:00:00+00:00,[1009.0853]
2010-12-04 06:00:00+00:00,[1050.3193]
2010-12-04 07:00:00+00:00,[1063.2043]
2010-12-04 08:00:00+00:00,[1105.601]
2010-12-04 09:00:00+00:00,[1107.0027]
2010-12-04 10:00:00+00:00,[1151.8143]
2010-12-04 11:00:00+00:00,[1168.0822]
2010-12-04 12:00:00+00:00,[1184.3281]
2010-12-04 13:00:00+00:00,[1183.7961]
2010-12-04 14:00:00+00:00,[1173.0658]
2010-12-04 15:00:00+00:00,[1158.2024]
2010-12-04 16:00:00+00:00,[1154.93]
2010-12-04 17:00:00+00:00,[1152.0289]
2010-12-04 18:00:00+00:00,[1129.0562]
2010-12-04 19:00:00+00:00,[1073.5435]
2010-12-04 20:00:00+00:00,[1025.6829]
2010-12-04 21:00:00+00:00,[993.4787]
2010-12-04 22:00:00+00:00,[941.6519]
2010-12-04 23:00:00+00:00,[921.89185]
2010-12-04 00:00:00+00:00,[921.61755]
2010-12-05 01:00:00+00:00,[941.12915]
2010-12-05 02:00:00+00:00,[962.3958]
2010-12-05 03:00:00+00:00,[984.90894]
2010-12-05 04:00:00+00:00,[1004.6331]
2010-12-05 05:00:00+00:00,[1027.1489]
2010-12-05 06:00:00+00:00,[1090.2415]
2010-12-05 07:00:00+00:00,[1127.5109]
2010-12-05 08:00:00+00:00,[1282.6978]
2010-12-05 09:00:00+00:00,[1363.3915]
2010-12-05 10:00:00+00:00,[1415.3531]
2010-12-05 11:00:00+00:00,[1453.2755]
2010-12-05 12:00:00+00:00,[1477.346]
2010-12-05 13:00:00+00:00,[1494.6711]
2010-12-05 14:00:00+00:00,[1482.9685]
2010-12-05 15:00:00+00:00,[1501.9761]
2010-12-05 16:00:00+00:00,[1487.863]
2010-12-05 17:00:00+00:00,[1436.0717]
2010-12-05 18:00:00+00:00,[1351.2601]
2010-12-05 19:00:00+00:00,[1284.7007]
2010-12-05 20:00:00+00:00,[1134.4305]
2010-12-05 21:00:00+00:00,[1064.3806]
2010-12-05 22:00:00+00:00,[978.46014]
2010-12-05 23:00:00+00:00,[937.52277]
2010-12-05 00:00:00+00:00,[894.01855]
2010-12-06 01:00:00+00:00,[880.36224]
2010-12-06 02:00:00+00:00,[875.0709]
2010-12-06 03:00:00+00:00,[881.2358]
2010-12-06 04:00:00+00:00,[889.5512]
2010-12-06 05:00:00+00:00,[900.1366]
2010-12-06 06:00:00+00:00,[969.7907]
2010-12-06 07:00:00+00:00,[1045.0865]
2010-12-06 08:00:00+00:00,[1201.17]
2010-12-06 09:00:00+00:00,[1267.716]
2010-12-06 10:00:00+00:00,[1293.5597]
2010-12-06 11:00:00+00:00,[1342.2509]
2010-12-06 12:00:00+00:00,[1361.5378]
2010-12-06 13:00:00+00:00,[1368.2456]
2010-12-06 14:00:00+00:00,[1359.3948]
2010-12-06 15:00:00+00:00,[1411.2465]
2010-12-06 16:00:00+00:00,[1467.4576]
2010-12-06 17:00:00+00:00,[1505.2363]
2010-12-06 18:00:00+00:00,[1527.6339]
2010-12-06 19:00:00+00:00,[1456.2987]
2010-12-06 20:00:00+00:00,[1196.1718]
2010-12-06 21:00:00+00:00,[1101.6119]
2010-12-06 22:00:00+00:00,[1028.5966]
2010-12-06 23:00:00+00:00,[976.9623]
2010-12-06 00:00:00+00:00,[912.9682]
2010-12-07 01:00:00+00:00,[899.71173]
2010-12-07 02:00:00+00:00,[890.49133]
2010-12-07 03:00:00+00:00,[892.6683]
2010-12-07 04:00:00+00:00,[895.3383]
2010-12-07 05:00:00+00:00,[897.9766]
2010-12-07 06:00:00+00:00,[956.0692]
2010-12-07 07:00:00+00:00,[990.662]
2010-12-07 08:00:00+00:00,[1195.0927]
2010-12-07 09:00:00+00:00,[1333.7961]
2010-12-07 10:00:00+00:00,[1352.9196]
2010-12-07 11:00:00+00:00,[1415.9836]
2010-12-07 12:00:00+00:00,[1418.3197]
2010-12-07 13:00:00+00:00,[1403.6385]
2010-12-07 14:00:00+00:00,[1376.8992]
2010-12-07 15:00:00+00:00,[1411.3636]
2010-12-07 16:00:00+00:00,[1459.2917]
2010-12-07 17:00:00+00:00,[1500.0804]
2010-12-07 18:00:00+00:00,[1522.4084]
2010-12-07 19:00:00+00:00,[1449.1735]
2010-12-07 20:00:00+00:00,[1207.1932]
2010-12-07 21:00:00+00:00,[1108.0842]
2010-12-07 22:00:00+00:00,[1039.8809]
2010-12-07 23:00:00+00:00,[1007.4101]
2010-12-07 00:00:00+00:00,[960.65765]
2010-12-08 01:00:00+00:00,[943.1105]
2010-12-08 02:00:00+00:00,[898.5534]
2010-12-08 03:00:00+00:00,[897.72144]
2010-12-08 04:00:00+00:00,[906.3166]
2010-12-08 05:00:00+00:00,[916.0923]
2010-12-08 06:00:00+00:00,[981.91455]
2010-12-08 07:00:00+00:00,[1025.6223]
2010-12-08 08:00:00+00:00,[1216.8533]
2010-12-08 09:00:00+00:00,[1319.9564]
2010-12-08 10:00:00+00:00,[1331.1913]
