datetime,temperature,Global_active_power
2010-03-07-21-00,18.44,1000.474982
2010-03-07-22-00,17.56,943.0434636
2010-03-07-23-00,16.72,891.2872559
2010-03-07-00-00,15.78,882.5418687
2010-03-08-01-00,14.89,866.3587385
2010-03-08-02-00,14.11,862.3992136
2010-03-08-03-00,13.44,856.9228655
2010-03-08-04-00,12.83,842.596174
2010-03-08-05-00,12.39,920.469316
2010-03-08-06-00,12.00,920.7628142
2010-03-08-07-00,11.78,1139.178933
2010-03-08-08-00,12.83,1272.461771
2010-03-08-09-00,14.89,1376.358554
2010-03-08-10-00,16.94,1455.67418
2010-03-08-11-00,18.72,1472.336608
2010-03-08-12-00,20.28,1481.764074
2010-03-08-13-00,21.44,1450.714245
2010-03-08-14-00,22.39,1486.258219
2010-03-08-15-00,22.94,1484.251256
2010-03-08-16-00,23.17,1482.309097
2010-03-08-17-00,22.94,1483.32802
2010-03-08-18-00,22.28,1484.062793
2010-03-08-19-00,21.00,1231.775996
2010-03-08-20-00,19.67,1231.80556
2010-03-08-21-00,18.56,1092.0759
2010-03-08-22-00,17.67,1045.163968
2010-03-08-23-00,16.78,976.0427935
2010-03-08-00-00,15.83,975.6136622
2010-03-09-01-00,15.00,958.3454304
2010-03-09-02-00,14.22,937.358394
2010-03-09-03-00,13.56,877.8604649
2010-03-09-04-00,12.94,877.1718694
2010-03-09-05-00,12.44,980.8367852
2010-03-09-06-00,12.06,971.2942857
2010-03-09-07-00,11.89,1198.648015
2010-03-09-08-00,12.94,1358.24819
2010-03-09-09-00,15.00,1429.567344
2010-03-09-10-00,17.06,1472.52703
2010-03-09-11-00,18.83,1486.939193
2010-03-09-12-00,20.39,1482.186269
2010-03-09-13-00,21.56,1432.978367
2010-03-09-14-00,22.50,1459.03469
2010-03-09-15-00,23.06,1454.829018
2010-03-09-16-00,23.28,1460.396646
2010-03-09-17-00,23.06,1464.367458
2010-03-09-18-00,22.39,1470.204211
2010-03-09-19-00,21.11,1229.340761
2010-03-09-20-00,19.78,1231.690572
2010-03-09-21-00,18.67,1098.149155
2010-03-09-22-00,17.72,1052.067119
2010-03-09-23-00,16.89,976.5449645
2010-03-09-00-00,15.89,973.5803844
2010-03-10-01-00,15.11,958.7826767
2010-03-10-02-00,14.33,943.0979603
2010-03-10-03-00,13.61,875.6567455
2010-03-10-04-00,13.00,877.1315029
2010-03-10-05-00,12.50,965.9798035
2010-03-10-06-00,12.11,972.1814226
2010-03-10-07-00,11.94,1194.957338
2010-03-10-08-00,13.06,1346.755487
2010-03-10-09-00,15.11,1424.249445
2010-03-10-10-00,17.22,1467.655636
2010-03-10-11-00,19.00,1486.510193
2010-03-10-12-00,20.56,1481.825896
2010-03-10-13-00,21.72,1435.493438
2010-03-10-14-00,22.67,1457.822355
2010-03-10-15-00,23.22,1459.568562
2010-03-10-16-00,23.44,1457.975718
2010-03-10-17-00,23.28,1457.643642
2010-03-10-18-00,22.56,1460.044236
2010-03-10-19-00,21.33,1216.49864
2010-03-10-20-00,20.00,1224.692606
2010-03-10-21-00,18.83,1101.002887
2010-03-10-22-00,17.94,1067.110789
2010-03-10-23-00,17.06,995.3792557
2010-03-10-00-00,16.11,987.4238256
2010-03-11-01-00,15.28,971.3090574
2010-03-11-02-00,14.50,968.404756
2010-03-11-03-00,13.78,948.6482563
2010-03-11-04-00,13.17,922.5541917
2010-03-11-05-00,12.67,893.0130132
2010-03-11-06-00,12.28,945.795995
2010-03-11-07-00,12.06,1057.745931
2010-03-11-08-00,13.22,1152.217847
2010-03-11-09-00,15.33,1171.842006
2010-03-11-10-00,17.44,1293.233813
2010-03-11-11-00,19.22,1291.243154
2010-03-11-12-00,20.78,1295.82626
2010-03-11-13-00,21.94,1264.985506
2010-03-11-14-00,22.89,1245.079459
2010-03-11-15-00,23.44,1237.147429
2010-03-11-16-00,23.67,1167.358888
2010-03-11-17-00,23.50,1171.854142
2010-03-11-18-00,22.78,1126.936015
2010-03-11-19-00,21.56,1109.995631
2010-03-11-20-00,20.17,1103.938856
2010-03-11-21-00,19.00,993.5899128
2010-03-11-22-00,18.11,1007.11799
2010-03-11-23-00,17.17,1009.539173
2010-03-11-00-00,16.22,1004.327091
2010-03-12-01-00,15.39,972.2900727
2010-03-12-02-00,14.56,978.4571996
2010-03-12-03-00,13.89,965.6808116
2010-03-12-04-00,13.22,963.7843077
2010-03-12-05-00,12.72,962.9161742
2010-03-12-06-00,12.39,1038.22433
2010-03-12-07-00,12.17,1038.007854
2010-03-12-08-00,13.39,1107.521647
2010-03-12-09-00,15.50,1112.610228
2010-03-12-10-00,17.61,1119.810345
2010-03-12-11-00,19.39,1112.458369
2010-03-12-12-00,20.94,1102.918032
2010-03-12-13-00,22.11,1095.933968
2010-03-12-14-00,23.06,1100.612024
2010-03-12-15-00,23.61,1095.526608
2010-03-12-16-00,23.83,1059.349639
2010-03-12-17-00,23.67,1025.038294
2010-03-12-18-00,23.00,989.4669247
2010-03-12-19-00,21.72,985.3983143
2010-03-12-20-00,20.39,962.012362
2010-03-12-21-00,19.17,955.8713995
2010-03-12-22-00,18.22,951.7342898
2010-03-12-23-00,17.33,959.7256332
2010-03-12-00-00,16.33,947.1392708
2010-03-13-01-00,15.50,969.6069495
2010-03-13-02-00,14.67,974.529948
2010-03-13-03-00,14.00,983.5233924
2010-03-13-04-00,13.39,1071.992594
2010-03-13-05-00,12.89,1074.9744
2010-03-13-06-00,12.50,1303.785697
2010-03-13-07-00,12.33,1420.953771
2010-03-13-08-00,13.56,1445.932271
2010-03-13-09-00,15.72,1474.931398
2010-03-13-10-00,17.83,1457.814563
2010-03-13-11-00,19.67,1447.856281
2010-03-13-12-00,21.22,1407.242714
2010-03-13-13-00,22.33,1436.231006
2010-03-13-14-00,23.28,1436.889036
2010-03-13-15-00,23.83,1434.444229
2010-03-13-16-00,24.11,1438.341347
2010-03-13-17-00,23.94,1438.148627
2010-03-13-18-00,23.22,1184.263161
2010-03-13-19-00,22.00,1187.544759
2010-03-13-20-00,20.61,1056.161743
2010-03-13-21-00,19.39,1015.896545
2010-03-13-22-00,18.39,952.2446464
2010-03-13-23-00,17.50,965.4251767
2010-03-13-00-00,16.44,961.7270753
2010-03-14-01-00,15.67,961.4443533
2010-03-14-02-00,14.78,969.7504421
2010-03-14-03-00,14.11,979.4811109
2010-03-14-04-00,13.50,1070.663386
2010-03-14-05-00,13.00,1067.636055
2010-03-14-06-00,12.61,1294.125771
2010-03-14-07-00,12.44,1407.482538
2010-03-14-08-00,13.72,1441.79072
2010-03-14-09-00,15.94,1469.955048
2010-03-14-10-00,18.06,1448.491796
2010-03-14-11-00,19.89,1436.071907
2010-03-14-12-00,21.44,1391.657003
2010-03-14-13-00,22.61,1425.230204
2010-03-14-14-00,23.50,1422.059375
2010-03-14-15-00,24.06,1421.040553
2010-03-14-16-00,24.33,1423.743073
2010-03-14-17-00,24.17,1426.739304
2010-03-14-18-00,23.50,1172.578207
2010-03-14-19-00,22.22,1174.565626
2010-03-14-20-00,20.83,1052.107889
2010-03-14-21-00,19.61,1016.652409
2010-03-14-22-00,18.67,953.6409077
2010-03-14-23-00,17.67,962.424519
2010-03-14-00-00,16.67,946.9718667
2010-03-15-01-00,15.83,958.0946744
2010-03-15-02-00,15.00,976.0569301
2010-03-15-03-00,14.28,980.1145619
2010-03-15-04-00,13.67,1066.876417
2010-03-15-05-00,13.17,1065.311341
2010-03-15-06-00,12.78,1291.909327
2010-03-15-07-00,12.61,1410.911318
2010-03-15-08-00,13.89,1445.783923
2010-03-15-09-00,16.17,1469.702631
2010-03-15-10-00,18.33,1455.171578
2010-03-15-11-00,20.17,1437.199007
2010-03-15-12-00,21.72,1388.048006
2010-03-15-13-00,22.89,1427.455926
2010-03-15-14-00,23.83,1435.687857
2010-03-15-15-00,24.33,1422.583958
2010-03-15-16-00,24.61,1425.315572
2010-03-15-17-00,24.44,1433.389694
2010-03-15-18-00,23.78,1170.534791
2010-03-15-19-00,22.50,1173.599097
2010-03-15-20-00,21.06,1051.663515
2010-03-15-21-00,19.78,1020.111185
2010-03-15-22-00,18.89,958.9106262
2010-03-15-23-00,17.89,957.5595253
2010-03-15-00-00,16.89,947.8952578
2010-03-16-01-00,16.06,954.0660044
2010-03-16-02-00,15.17,964.9022699
2010-03-16-03-00,14.44,975.7324842
2010-03-16-04-00,13.83,1068.889177
2010-03-16-05-00,13.33,1069.307505
2010-03-16-06-00,12.94,1299.087499
2010-03-16-07-00,12.78,1420.687715
2010-03-16-08-00,14.11,1450.798604
2010-03-16-09-00,16.39,1473.683892
2010-03-16-10-00,18.56,1471.101998
2010-03-16-11-00,20.33,1470.529045
2010-03-16-12-00,21.94,1426.0471
2010-03-16-13-00,23.11,1458.448803
2010-03-16-14-00,24.00,1449.309842
2010-03-16-15-00,24.56,1445.061406
2010-03-16-16-00,24.78,1445.634336
2010-03-16-17-00,24.61,1446.543841
2010-03-16-18-00,23.94,1188.175994
2010-03-16-19-00,22.67,1197.690124
2010-03-16-20-00,21.28,1067.599762
2010-03-16-21-00,19.94,1032.321364
2010-03-16-22-00,19.06,973.5843661
2010-03-16-23-00,18.06,967.3555304
2010-03-16-00-00,17.06,956.9936897
2010-03-17-01-00,16.17,968.1134009
2010-03-17-02-00,15.33,979.3229127
2010-03-17-03-00,14.61,985.3650527
2010-03-17-04-00,14.00,1076.042133
2010-03-17-05-00,13.44,1080.865456
2010-03-17-06-00,13.06,1307.937882
2010-03-17-07-00,12.89,1422.892841
2010-03-17-08-00,14.22,1455.855257
2010-03-17-09-00,16.50,1468.390378
2010-03-17-10-00,18.67,1450.105851
2010-03-17-11-00,20.44,1430.718701
2010-03-17-12-00,22.06,1396.393365
2010-03-17-13-00,23.22,1429.795202
2010-03-17-14-00,24.06,1428.927807
2010-03-17-15-00,24.61,1430.582889
2010-03-17-16-00,24.83,1433.457979
2010-03-17-17-00,24.67,1436.809671
2010-03-17-18-00,24.06,1182.468495
2010-03-17-19-00,22.78,1185.073842
2010-03-17-20-00,21.39,1061.311643
2010-03-17-21-00,20.11,1036.306302
2010-03-17-22-00,19.17,998.7978579
2010-03-17-23-00,18.17,1017.114455
2010-03-17-00-00,17.17,1016.607111
2010-03-18-01-00,16.22,1027.167529
2010-03-18-02-00,15.39,1030.779762
2010-03-18-03-00,14.67,1036.76708
2010-03-18-04-00,14.06,1045.253366
2010-03-18-05-00,13.50,1041.070151
2010-03-18-06-00,13.11,1102.675939
2010-03-18-07-00,12.94,1202.99317
2010-03-18-08-00,14.33,1206.254025
2010-03-18-09-00,16.61,1307.172631
2010-03-18-10-00,18.78,1296.583793
2010-03-18-11-00,20.56,1290.137237
2010-03-18-12-00,22.17,1251.886213
2010-03-18-13-00,23.33,1234.784024
2010-03-18-14-00,24.22,1229.521443
2010-03-18-15-00,24.78,1148.886561
2010-03-18-16-00,24.94,1147.784817
2010-03-18-17-00,24.78,1103.226706
2010-03-18-18-00,24.17,1066.885249
2010-03-18-19-00,22.94,1071.079302
2010-03-18-20-00,21.56,980.4680528
2010-03-18-21-00,20.22,995.8454884
2010-03-18-22-00,19.28,1003.337975
2010-03-18-23-00,18.28,1015.902957
2010-03-18-00-00,17.28,1011.831075
2010-03-19-01-00,16.39,1007.722439
2010-03-19-02-00,15.50,1013.058849
2010-03-19-03-00,14.78,1017.229824
2010-03-19-04-00,14.17,1030.524575
2010-03-19-05-00,13.61,1041.637205
2010-03-19-06-00,13.22,1109.338291
2010-03-19-07-00,13.00,1104.334925
2010-03-19-08-00,14.44,1173.149479
2010-03-19-09-00,16.67,1149.765194
2010-03-19-10-00,18.83,1142.660283
2010-03-19-11-00,20.67,1138.949159
2010-03-19-12-00,22.28,1126.659509
2010-03-19-13-00,23.39,1106.587169
2010-03-19-14-00,24.28,1090.814918
2010-03-19-15-00,24.83,1081.710183
2010-03-19-16-00,25.00,1055.817057
2010-03-19-17-00,24.83,1006.47036
2010-03-19-18-00,24.22,981.0513266
2010-03-19-19-00,23.00,994.6959505
2010-03-19-20-00,21.61,986.7069969
2010-03-19-21-00,20.28,993.0637248
2010-03-19-22-00,19.33,980.8812827
2010-03-19-23-00,18.33,981.8021803
2010-03-19-00-00,17.33,974.6547579
2010-03-20-01-00,16.44,993.9923271
2010-03-20-02-00,15.56,999.2029561
2010-03-20-03-00,14.83,1007.330893
2010-03-20-04-00,14.22,1104.03324
2010-03-20-05-00,13.67,1100.619399
2010-03-20-06-00,13.28,1324.225905
2010-03-20-07-00,13.06,1443.92327
2010-03-20-08-00,14.50,1470.042703
2010-03-20-09-00,16.78,1467.600756
2010-03-20-10-00,18.89,1458.85459
2010-03-20-11-00,20.72,1477.944092
2010-03-20-12-00,22.28,1439.589804
2010-03-20-13-00,23.44,1505.085878
2010-03-20-14-00,24.28,1528.03992
2010-03-20-15-00,24.83,1541.810322
2010-03-20-16-00,25.00,1551.144659
2010-03-20-17-00,24.83,1554.335763
2010-03-20-18-00,24.22,1296.170008
2010-03-20-19-00,23.00,1299.887447
2010-03-20-20-00,21.67,1146.992636
2010-03-20-21-00,20.33,1097.163878
2010-03-20-22-00,19.39,1030.069531
2010-03-20-23-00,18.39,1022.978306
2010-03-20-00-00,17.39,1013.857028
2010-03-21-01-00,16.50,1000.721933
2010-03-21-02-00,15.61,949.6540605
2010-03-21-03-00,14.89,910.2960239
2010-03-21-04-00,14.28,1019.159974
2010-03-21-05-00,13.72,1022.830368
2010-03-21-06-00,13.33,1238.784923
2010-03-21-07-00,13.11,1339.040916
2010-03-21-08-00,14.61,1372.364262
2010-03-21-09-00,16.83,1442.223086
2010-03-21-10-00,18.94,1506.873885
2010-03-21-11-00,20.78,1530.561443
2010-03-21-12-00,22.33,1494.689788
2010-03-21-13-00,23.44,1529.070197
2010-03-21-14-00,24.28,1526.706475
2010-03-21-15-00,24.83,1524.444244
2010-03-21-16-00,25.00,1530.271161
2010-03-21-17-00,24.83,1539.078234
2010-03-21-18-00,24.17,1269.405889
2010-03-21-19-00,23.00,1271.881751
2010-03-21-20-00,21.67,1142.26607
2010-03-21-21-00,20.33,1094.043183
2010-03-21-22-00,19.39,1019.77522
2010-03-21-23-00,18.39,1011.408742
2010-03-21-00-00,17.39,995.456317
2010-03-22-01-00,16.56,994.167147
2010-03-22-02-00,15.67,993.398897
2010-03-22-03-00,14.89,986.5927233
2010-03-22-04-00,14.28,1026.865987
2010-03-22-05-00,13.67,1036.423216
2010-03-22-06-00,13.33,1251.746951
2010-03-22-07-00,13.11,1388.589692
2010-03-22-08-00,14.67,1463.320043
2010-03-22-09-00,16.89,1506.710829
2010-03-22-10-00,19.00,1515.234267
2010-03-22-11-00,20.78,1520.022919
2010-03-22-12-00,22.33,1476.875373
2010-03-22-13-00,23.44,1509.988305
2010-03-22-14-00,24.33,1505.958461
2010-03-22-15-00,24.83,1500.336645
2010-03-22-16-00,25.00,1494.866598
2010-03-22-17-00,24.83,1489.27229
2010-03-22-18-00,24.22,1229.283625
2010-03-22-19-00,23.06,1238.202288
2010-03-22-20-00,21.72,1125.688955
2010-03-22-21-00,20.44,1091.409988
2010-03-22-22-00,19.44,1027.737705
2010-03-22-23-00,18.44,1029.616553
2010-03-22-00-00,17.44,1018.53719
2010-03-23-01-00,16.61,1017.250043
2010-03-23-02-00,15.72,1009.465459
2010-03-23-03-00,15.00,999.5711142
2010-03-23-04-00,14.33,1086.259789
2010-03-23-05-00,13.72,1085.944945
2010-03-23-06-00,13.39,1318.140988
2010-03-23-07-00,13.22,1434.587292
2010-03-23-08-00,14.78,1464.834334
2010-03-23-09-00,17.00,1499.559333
2010-03-23-10-00,19.11,1518.76643
2010-03-23-11-00,20.89,1506.301568
2010-03-23-12-00,22.44,1451.843015
2010-03-23-13-00,23.56,1477.301455
2010-03-23-14-00,24.39,1472.964173
2010-03-23-15-00,24.94,1463.564444
2010-03-23-16-00,25.11,1463.075221
2010-03-23-17-00,24.94,1465.711259
2010-03-23-18-00,24.33,1212.032582
2010-03-23-19-00,23.17,1222.807016
2010-03-23-20-00,21.83,1103.363377
2010-03-23-21-00,20.56,1068.356047
2010-03-23-22-00,19.56,1005.830191
2010-03-23-23-00,18.56,1011.404608
2010-03-23-00-00,17.56,1005.313395
2010-03-24-01-00,16.72,997.7711481
2010-03-24-02-00,15.83,987.4790545
2010-03-24-03-00,15.06,987.7424772
2010-03-24-04-00,14.44,1075.386153
2010-03-24-05-00,13.83,1077.477841
2010-03-24-06-00,13.44,1300.139853
2010-03-24-07-00,13.33,1407.959737
2010-03-24-08-00,14.89,1450.049429
2010-03-24-09-00,17.17,1490.936789
2010-03-24-10-00,19.28,1472.55115
2010-03-24-11-00,21.06,1451.707138
2010-03-24-12-00,22.61,1404.518278
2010-03-24-13-00,23.78,1444.654197
2010-03-24-14-00,24.61,1443.158961
2010-03-24-15-00,25.11,1436.915345
2010-03-24-16-00,25.33,1441.41821
2010-03-24-17-00,25.17,1442.455575
2010-03-24-18-00,24.56,1187.285315
2010-03-24-19-00,23.39,1194.940567
2010-03-24-20-00,22.06,1074.33248
2010-03-24-21-00,20.72,1045.21026
2010-03-24-22-00,19.72,987.7264478
2010-03-24-23-00,18.72,994.805345
2010-03-24-00-00,17.72,983.7776498
2010-03-25-01-00,16.89,988.860166
2010-03-25-02-00,15.94,988.8105005
2010-03-25-03-00,15.22,992.6091042
2010-03-25-04-00,14.56,997.9546134
2010-03-25-05-00,13.94,989.4844899
2010-03-25-06-00,13.56,1064.048929
2010-03-25-07-00,13.44,1183.430045
2010-03-25-08-00,15.06,1187.578883
2010-03-25-09-00,17.33,1287.889709
2010-03-25-10-00,19.44,1268.749757
2010-03-25-11-00,21.22,1257.506187
2010-03-25-12-00,22.72,1226.033744
2010-03-25-13-00,23.89,1211.589882
2010-03-25-14-00,24.72,1211.888019
2010-03-25-15-00,25.22,1133.083507
2010-03-25-16-00,25.39,1142.297635
2010-03-25-17-00,25.22,1102.972287
2010-03-25-18-00,24.61,1066.231291
2010-03-25-19-00,23.44,1071.559444
2010-03-25-20-00,22.11,972.5290849
2010-03-25-21-00,20.78,976.2123036
2010-03-25-22-00,19.78,978.3537054
2010-03-25-23-00,18.83,977.5983569
2010-03-25-00-00,17.83,969.7181549
2010-03-26-01-00,16.94,968.4870698
2010-03-26-02-00,16.06,975.532371
2010-03-26-03-00,15.28,978.2548375
2010-03-26-04-00,14.61,981.2079416
2010-03-26-05-00,14.00,985.152744
2010-03-26-06-00,13.61,1062.971227
2010-03-26-07-00,13.50,1055.856553
2010-03-26-08-00,15.11,1132.530338
2010-03-26-09-00,17.39,1119.043331
2010-03-26-10-00,19.50,1102.551145
2010-03-26-11-00,21.28,1094.432435
2010-03-26-12-00,22.78,1086.279437
2010-03-26-13-00,23.94,1076.294803
2010-03-26-14-00,24.78,1081.028636
2010-03-26-15-00,25.22,1083.574431
2010-03-26-16-00,25.44,1050.142588
2010-03-26-17-00,25.28,996.1620014
2010-03-26-18-00,24.67,974.4398888
2010-03-26-19-00,23.44,982.8726213
2010-03-26-20-00,22.17,967.9339575
2010-03-26-21-00,20.83,977.7610316
2010-03-26-22-00,19.83,972.572512
2010-03-26-23-00,18.89,968.8194435
2010-03-26-00-00,17.89,960.8438973
2010-03-27-01-00,17.06,991.338578
2010-03-27-02-00,16.17,991.6102353
2010-03-27-03-00,15.39,993.2838532
2010-03-27-04-00,14.67,1075.22741
2010-03-27-05-00,14.11,1074.34941
2010-03-27-06-00,13.72,1307.484112
2010-03-27-07-00,13.61,1424.28508
2010-03-27-08-00,15.22,1463.394144
2010-03-27-09-00,17.50,1481.559564
2010-03-27-10-00,19.56,1466.357794
2010-03-27-11-00,21.33,1453.188898
2010-03-27-12-00,22.89,1411.546491
2010-03-27-13-00,24.06,1441.704545
2010-03-27-14-00,24.89,1441.978153
2010-03-27-15-00,25.33,1443.972407
2010-03-27-16-00,25.50,1453.501836
2010-03-27-17-00,25.33,1447.894802
2010-03-27-18-00,24.72,1178.586171
2010-03-27-19-00,23.56,1185.638476
2010-03-27-20-00,22.28,1064.470555
2010-03-27-21-00,21.00,1019.716006
2010-03-27-22-00,19.94,948.8395751
2010-03-27-23-00,19.06,946.8056439
2010-03-27-00-00,17.94,951.9031976
2010-03-28-01-00,17.11,953.7772461
2010-03-28-02-00,16.22,961.5582489
2010-03-28-03-00,15.44,959.5655899
2010-03-28-04-00,14.72,1053.139819
2010-03-28-05-00,14.17,1050.05077
2010-03-28-06-00,13.72,1275.833736
2010-03-28-07-00,13.61,1395.541204
2010-03-28-08-00,15.28,1441.203347
2010-03-28-09-00,17.56,1458.947751
2010-03-28-10-00,19.61,1458.959258
2010-03-28-11-00,21.39,1455.23793
2010-03-28-12-00,22.89,1417.808642
2010-03-28-13-00,24.06,1453.665202
2010-03-28-14-00,24.89,1456.636966
2010-03-28-15-00,25.39,1444.740264
2010-03-28-16-00,25.56,1442.503111
2010-03-28-17-00,25.39,1436.144186
2010-03-28-18-00,24.78,1174.827613
2010-03-28-19-00,23.56,1182.805552
2010-03-28-20-00,22.33,1059.772967
2010-03-28-21-00,21.00,1035.132249
2010-03-28-22-00,20.00,981.2148762
2010-03-28-23-00,19.11,986.2136788
2010-03-28-00-00,18.06,977.0175804
2010-03-29-01-00,17.22,983.0218762
2010-03-29-02-00,16.33,982.4821167
2010-03-29-03-00,15.50,990.9494961
2010-03-29-04-00,14.83,1079.275802
2010-03-29-05-00,14.22,1079.283733
2010-03-29-06-00,13.83,1309.298656
2010-03-29-07-00,13.72,1422.399019
2010-03-29-08-00,15.39,1459.603647
2010-03-29-09-00,17.61,1485.980892
2010-03-29-10-00,19.67,1471.230996
2010-03-29-11-00,21.44,1455.826805
2010-03-29-12-00,22.94,1401.812248
2010-03-29-13-00,24.17,1424.209695
2010-03-29-14-00,25.00,1418.988214
2010-03-29-15-00,25.44,1419.809046
2010-03-29-16-00,25.61,1426.576825
2010-03-29-17-00,25.44,1431.877929
2010-03-29-18-00,24.83,1164.803811
2010-03-29-19-00,23.67,1168.65399
2010-03-29-20-00,22.39,1048.084429
2010-03-29-21-00,21.11,1014.775061
2010-03-29-22-00,20.06,954.624323
2010-03-29-23-00,19.22,955.9948852
2010-03-29-00-00,18.11,948.7251949
2010-03-30-01-00,17.28,963.1421001
2010-03-30-02-00,16.39,965.2983663
2010-03-30-03-00,15.61,967.591689
2010-03-30-04-00,14.94,1068.581618
2010-03-30-05-00,14.33,1074.041436
2010-03-30-06-00,13.89,1303.522751
2010-03-30-07-00,13.83,1417.622151
2010-03-30-08-00,15.50,1447.522462
2010-03-30-09-00,17.72,1465.473446
2010-03-30-10-00,19.78,1455.750016
2010-03-30-11-00,21.50,1441.534869
2010-03-30-12-00,23.00,1394.318736
2010-03-30-13-00,24.22,1431.624381
2010-03-30-14-00,25.06,1435.818338
2010-03-30-15-00,25.50,1432.154984
2010-03-30-16-00,25.67,1431.613813
2010-03-30-17-00,25.50,1436.569895
2010-03-30-18-00,24.89,1173.948711
2010-03-30-19-00,23.72,1189.340774
2010-03-30-20-00,22.50,1072.782692
2010-03-30-21-00,21.22,1042.439111
2010-03-30-22-00,20.17,983.769296
2010-03-30-23-00,19.28,989.5241092
2010-03-30-00-00,18.22,976.0034439
2010-03-31-01-00,17.39,990.9661062
2010-03-31-02-00,16.50,1023.575301
2010-03-31-03-00,15.72,1028.057219
2010-03-31-04-00,15.06,1127.069113
2010-03-31-05-00,14.44,1115.572481
2010-03-31-06-00,14.00,1338.744292
2010-03-31-07-00,14.00,1456.186919
2010-03-31-08-00,15.67,1485.151708
2010-03-31-09-00,17.89,1506.136519
2010-03-31-10-00,19.89,1516.613789
2010-03-31-11-00,21.67,1505.441927
2010-03-31-12-00,23.11,1454.230259
2010-03-31-13-00,24.33,1482.687776
2010-03-31-14-00,25.17,1493.879491
2010-03-31-15-00,25.61,1477.189545
2010-03-31-16-00,25.78,1484.94139
2010-03-31-17-00,25.61,1497.580252
2010-03-31-18-00,25.06,1221.163259
2010-03-31-19-00,23.89,1214.152873
2010-03-31-20-00,22.61,1082.760182
2010-03-31-21-00,21.33,1043.477855
2010-03-31-22-00,20.28,977.648212
2010-03-31-23-00,19.44,976.002972
2010-03-31-00-00,18.28,964.648608
2010-04-01-01-00,17.56,1013.743673
2010-04-01-02-00,16.67,1037.756711
2010-04-01-03-00,15.83,1020.498623
2010-04-01-04-00,15.17,1019.336081
2010-04-01-05-00,14.56,1009.435369
2010-04-01-06-00,14.11,1072.308487
2010-04-01-07-00,14.11,1100.023969
2010-04-01-08-00,15.83,1143.985053
2010-04-01-09-00,18.06,1289.268327
2010-04-01-10-00,20.06,1311.701418
2010-04-01-11-00,21.78,1333.362623
2010-04-01-12-00,23.28,1290.623757
2010-04-01-13-00,24.50,1275.145117
2010-04-01-14-00,25.33,1276.506899
2010-04-01-15-00,25.78,1194.297287
2010-04-01-16-00,25.94,1200.939833
2010-04-01-17-00,25.78,1159.151104
2010-04-01-18-00,25.17,1122.855088
2010-04-01-19-00,24.00,1136.800508
2010-04-01-20-00,22.78,1043.50582
2010-04-01-21-00,21.50,1046.494581
2010-04-01-22-00,20.44,1046.145054
2010-04-01-23-00,19.56,1047.158649
2010-04-01-00-00,18.44,1029.298083
2010-04-02-01-00,17.72,1007.743789
2010-04-02-02-00,16.78,994.3102729
2010-04-02-03-00,16.00,984.9198416
2010-04-02-04-00,15.28,990.4682639
2010-04-02-05-00,14.72,987.2992603
2010-04-02-06-00,14.22,1053.223322
2010-04-02-07-00,14.28,1044.01856
2010-04-02-08-00,16.00,1118.131913
2010-04-02-09-00,18.22,1108.939512
2010-04-02-10-00,20.22,1115.777534
2010-04-02-11-00,21.94,1119.426666
2010-04-02-12-00,23.39,1109.716117
2010-04-02-13-00,24.56,1102.219406
2010-04-02-14-00,25.44,1104.121924
2010-04-02-15-00,25.89,1106.383898
2010-04-02-16-00,26.06,1082.260843
2010-04-02-17-00,25.89,1028.506867
2010-04-02-18-00,25.28,972.4680472
2010-04-02-19-00,24.11,915.9077736
2010-04-02-20-00,22.89,893.6665232
2010-04-02-21-00,21.61,883.3957464
2010-04-02-22-00,20.56,853.6075475
2010-04-02-23-00,19.72,843.3028134
2010-04-02-00-00,18.56,833.8230752
2010-04-03-01-00,17.78,840.2092254
2010-04-03-02-00,16.89,828.4104486
2010-04-03-03-00,16.06,816.4874633
2010-04-03-04-00,15.33,895.6335127
2010-04-03-05-00,14.78,885.6766453
2010-04-03-06-00,14.33,1110.563291
2010-04-03-07-00,14.39,1224.533061
2010-04-03-08-00,16.11,1279.357687
2010-04-03-09-00,18.39,1352.587177
2010-04-03-10-00,20.44,1439.402654
2010-04-03-11-00,22.17,1477.911047
2010-04-03-12-00,23.61,1449.846573
2010-04-03-13-00,24.83,1492.297247
2010-04-03-14-00,25.67,1503.354829
2010-04-03-15-00,26.11,1496.145834
2010-04-03-16-00,26.33,1490.781358
2010-04-03-17-00,26.17,1497.280067
2010-04-03-18-00,25.56,1241.64119
2010-04-03-19-00,24.39,1253.787201
2010-04-03-20-00,23.17,1128.326498
2010-04-03-21-00,21.89,1094.286811
2010-04-03-22-00,20.83,1015.103006
2010-04-03-23-00,19.94,1005.439411
2010-04-03-00-00,18.78,987.1863382
2010-04-04-01-00,18.00,982.0307106
2010-04-04-02-00,17.06,978.5041375
2010-04-04-03-00,16.28,901.1939939
2010-04-04-04-00,15.50,972.1489813
2010-04-04-05-00,14.94,965.0467544
2010-04-04-06-00,14.44,1197.443417
2010-04-04-07-00,14.56,1323.615751
2010-04-04-08-00,16.33,1407.105003
2010-04-04-09-00,18.61,1487.439597
2010-04-04-10-00,20.67,1508.915757
2010-04-04-11-00,22.39,1500.327509
2010-04-04-12-00,23.89,1458.728393
2010-04-04-13-00,25.06,1489.786637
2010-04-04-14-00,25.94,1481.021764
2010-04-04-15-00,26.39,1482.222067
